slug,url,model,brand,collection,price_value,price_currency,terrain,use_case,release_year,date_published,pronation_support,arch_type,strike_pattern,pace_recommendation,features_special,season,widths_available,material,type_tags,condition,stack_height_mm_heel,stack_height_mm_forefoot,drop_mm,midsole_softness_HA,midsole_softness_in_cold_HA,midsole_softness_in_cold_pct,shock_absorption_SA_heel,shock_absorption_SA_forefoot,energy_return_pct_heel,energy_return_pct_forefoot,weight_g,width_fit_mm_new,width_fit_mm_old,toebox_width_mm_new,toebox_width_mm_old,toebox_height_mm,platform_width_mm_forefoot,platform_width_mm_heel,breathability_score,traction_wet_score,flexibility_force_N,flexibility_force_N_old,stiffness_in_cold_N,cold_stiffness_change_pct,durability_toebox_score,durability_heel_score,durability_outsole_wear_mm,outsole_thickness_mm,outsole_hardness_HC,insole_thickness_mm,tongue_padding_mm,tongue_gusset,heel_tab,removable_insole,orthotic_friendly,breathability_rating,torsional_rigidity_rating,heel_counter_stiffness_rating,reflective_elements,audience_verdict_raw,audience_score,verdict_summary,pros,cons,who_should_buy,who_should_not_buy,price_usd
brooks-ghost-17,https://runrepeat.com/brooks-ghost-17,Brooks Ghost 17,Brooks,Brooks Ghost,2880700.0,IDR,Road,Jogging|Walking|All-day wear,,2025-11-03T10:28:02+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Sockless wear|Cushioned|Removable insole|Sustainable,All seasons,Narrow|Normal|Wide|X-Wide,Mesh,Maximalist,Shin splints,36.2 mm,25.8 mm,10.4 mm,17.0 HA,23.6 HA,39%,140 SA,,53.8%,,289.0,95.2 mm,,69.6 mm,,24.8 mm,116.8 mm,95.4 mm,3,0.55,10.9N,,,,3,4,0.8 mm,4.0 mm,,5.7 mm,9.0 mm,None,None,Yes,True,3.0,3.0,5.0,No,Audience verdict N/A Not enough reviews yet,76,"We found that the Brooks Ghost 17 sticks to the same trusted formula that made it popular, with only minor tweaks to keep loyal fans satisfied.",Exceptionally comfortable upper|Impressive outsole durability|Softest and most cushioned Ghost to date|Very stable for a neutral shoe|Still a flexible and natural ride|Doubles for daily wear|New drop adds versatility ﻿ ﻿ ﻿ ﻿ ﻿|Traction is even better﻿ than before|Improved aesthetics﻿,Outdated foam tech with low energy return|Non-gusseted tongue despite price hike|Still heavy|Tapered toebox,"Fans who buy a Ghost every year can confidently proceed again, as it follows the same proven formula with only minor refinements.|Those seeking a touch more cushioning will appreciate the added stack height and lower (but still high) drop from previous models.|For runners wanting a single, durable shoe for two or three short runs per week and casual everyday wear, this shoe is ideal.","We found in the lab that the DNA Loft v3 foam of the Brooks Ghost 17 lacks energy return, and from our perspective, that’s a clear drawback. A few years ago, this might have been acceptable, but now most brands deliver highly-responsive daily trainers, and this one simply doesn’t keep up. For those seeking bounce, we suggest checking the HOKA Mach 6 or the Nike Pegasus Plus .|We also think the Ghost 17 isn’t the best fit for runners with wide feet, as its tapered toebox may feel restrictive. From our experience, shoes like the Altra Experience Flow 2 or the Adidas Supernova Rise 2 provide a roomy design while also delivering a more energetic foam as a side benefit.",173.12
altra-experience-flow-2,https://runrepeat.com/altra-experience-flow-2,Altra Experience Flow 2,Altra,,2880700.0,IDR,Road,Jogging|Walking|All-day wear,,2025-11-01T18:07:15+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal,Mesh|Reflective,Comfortable|Low drop|Lightweight,Knee pain|Bunions,30.3 mm,25.9 mm,4.4 mm,14.1 HA,19.5 HA,38%,127 SA,,60.3%,,235.0,99.1 mm,,82.6 mm,,24.6 mm,112.2 mm,87.2 mm,3,0.55,10.0N,,,,2,4,1.7 mm,3.1 mm,,4.4 mm,10.3 mm,Both sides (semi),Extended heel collar,Yes,True,3.0,3.0,3.0,Yes,Audience verdict N/A Not enough reviews yet Top 27% most popular running shoes,84,We think the Altra Experience Flow 2 is exactly what version 1 should’ve been.,"Good energy return (finally!)|Roomy, foot-shaped toebox|Feather-light build|Smooth, natural ride|New plush EGO P35 foam|Perfect bridge toward zero-drop shoes|Comfortable for daily wear|Flexible build|Massive improvement over v1",Poor outsole durability|Not ideal for heel strikers|Toebox height may feel slightly low,"Runners looking to move from high-drop shoes to a low drop option. Or even runners transitioning toward zero-drop shoes who want a low-drop option to adapt over the course of a year or so.|Those who tried the first version and found it flat or lifeless. Version 2 is noticeably bouncier and more cushioned.|Individuals who prefer a flexible, moderately stacked shoe that delivers a smooth, natural ride over today’s stiffer daily trainers.","We believe the Altra Experience Flow 2 isn’t ideal for runners seeking first-class shock absorption. In our tests, its moderate stack can’t match high-stack trainers even with the new foam. For that, we suggest the budget-friendly New Balance FuelCell Propel v4 or the premium-priced Fresh Foam X More v6 .|We also think runners who often wear down outsoles quickly should skip this model, because the rubber is just not tough enough. If you are into this group, the Topo Atmos is a better pick, keeping the roomy fit and low-drop feel with greater outsole lifespan.",173.12
nike-vomero-premium,https://runrepeat.com/nike-vomero-premium,Nike Vomero Premium,Nike,,4417070.0,IDR,Road,Jogging|Walking|All-day wear,,2025-10-30T14:13:00+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Sockless wear|Cushioned|Removable insole|Rocker,All seasons,Normal,Mesh|Reflective,Comfortable|For heavy runners|For big guys|Maximalist,Shin splints,50.1 mm,41.3 mm,8.8 mm,15.9 HA,19.8 HA,24%,173 SA,,63.3%,,326.0,94.6 mm,,68.6 mm,,30.8 mm,118.4 mm,103.2 mm,3,0.51,21.5N,,,,3,5,0.7 mm,2.8 mm,,4.1 mm,12.4 mm,Both sides (semi),None,Yes,True,3.0,5.0,4.0,Yes,Audience verdict N/A Not enough reviews yet Top 10% most popular running shoes,80,The Vomero Premium shows just how far Nike is willing to go in the name of innovation and hype.,Record-breaking shock absorption|Massive 50+ mm stack height|Cozy upper from heel to toe|Surprisingly good grip|Ultra-plush ZoomX foam|Perfect for recovery days|Solid durability|Impressively stable for heel strikers|Out-of-this-world aesthetics,Lower energy return than expected|Limited versatility|High price tag|Tapered toebox restricts toe splay,"Larger or heavier runners who need maximum cushioning underfoot.|High-mileage athletes seeking the ultimate recovery shoe packed with premium tech.|Anyone craving an ultra-comfortable experience, with a plush upper and soft midsole.|Heel strikers who want exceptional impact protection and a stable feel for long runs.","We believe the Nike Vomero Premium isn’t the best option for runners seeking performance or versatility for a wide range of paces. Based on our testing, its massive weight and oversized build make it unsuitable for anything beyond easy runs. For a lighter, more responsive alternative, we recommend the ASICS Megablast , which sacrifices the plush upper but delivers excellent energy return and is a much better shoe for anything faster than zone 1/2 running.|Additionally, we think the Vomero Premium’s sky-high price will turn away many runners. There are other maximalist shoes that cost less yet offer excellent cushioning and comfort, such as the New Balance Fresh Foam X More v6 or the Mizuno Neo Vista 2 . Even within Nike’s lineup, the Vomero Plus offers a better value.",265.45
asics-sonicblast,https://runrepeat.com/asics-sonicblast,ASICS Sonicblast,ASICS,,3648880.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2025-10-22T14:31:20+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Tempo|Daily running,Orthotic friendly|Cushioned|Removable insole|Rocker,Summer|All seasons,Normal,Mesh,Breathable|Maximalist,Shin splints,45.4 mm,36.4 mm,9.0 mm,19.9 HA,20.7 HA,4%,149 SA,,68.9%,,255.0,92.8 mm,,70.1 mm,,25.4 mm,115.2 mm,94.1 mm,5,0.79,24.4N,,,,1,5,1.0 mm,2.0 mm,,4.8 mm,0.8 mm,Both sides (semi),None,Yes,True,5.0,5.0,2.0,No,Audience verdict N/A Not enough reviews yet Top 26% most popular running shoes,88,"ASICS continues to expand its supertrainer lineup, and the Sonicblast is an interesting addition.",Exceptionally cushioned|Strong energy return|Perfect for long runs|Outstanding grip|Top-tier breathability|Fair price|More agile than most competitors|Secure lockdown,Not for wide feet|Stiff build limits versatility|Could be a bit softer|Misleading midsole branding,Runners looking for a plated supertrainer without paying +200 dollars.|Marathoners wanting a shoe that’s perfect for long runs and extended intervals while keeping their legs fresh.|Fans of the Superblast series who wanted a more compact and agile shoe with the same stack height.|Runners with narrow feet who need a secure fit in a performance-oriented tempo shoe.,"We think the ASICS Sonicblast isn’t the best choice for runners with wide feet. Its narrow, tapered toebox feels restrictive, especially during long runs, and we found in our lab that it limits toe movement considerably. If that's a problem for you, check alternatives like the ASICS Magic Speed 4 or the Saucony Endorphin Speed 5 .|Additionally, we believe that runners who prefer a plateless experience won’t be fully satisfied here. In this case, we think shoes like the ASICS Megablast or the Adidas Adizero EVO SL are better options that also feature higher energy return.",219.29
new-balance-fuel-cell-super-comp-elite-v-5,https://runrepeat.com/new-balance-fuel-cell-super-comp-elite-v-5,New Balance FuelCell SuperComp Elite v5,New Balance,New Balance Fuelcell|New Balance Fuelcell Supercomp,5377300.0,IDR,Road,Treadmill,,2025-10-20T15:15:46+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Competition,Orthotic friendly|Cushioned|Carbon plate|Removable insole|Rocker,All seasons,Normal|Wide,Mesh,Breathable|Maximalist|Lightweight,,39.3 mm,28.6 mm,10.7 mm,15.2 HA,16.5 HA,9%,144 SA,,74.8%,,198.0,93.8 mm,,74.5 mm,,26.4 mm,107.0 mm,71.6 mm,4,0.61,16.2N,,,,1,3,1.1 mm,3.5 mm,,3.1 mm,1.0 mm,Both sides (semi),None,Yes,True,4.0,4.0,2.0,No,Audience verdict 92 Superb! Top 4% in road running shoes Top 4% in New Balance running shoes Top 13% most popular running shoes,92,We think the FuelCell SuperComp Elite v5 marks a solid step forward for New Balance.,"Improved performance and speed|Roomy toebox (for a competition shoe)|Maxed-out heel stack|Much lighter than before|Strong grip from new outsole design|Redesigned﻿ plate curvature for faster transitions|Premium, breathable upper|Fixes heel and tongue issues from v4",Still not among the fastest supershoes|Narrow heel reduces stability|High drop may not suit everyone|Comes without high-grip laces,"Fans of New Balance who want to stick with the brand and get its best competition shoe yet.|Runners who love the classic look & feel of racing flats but want the performance of a modern racer.|Those looking for a supershoe with a slightly roomier toebox for extra comfort.|Marathoners who found version 4 too heavy, as the new model is much lighter and agile.","We think the Elite v5 isn’t the best choice for runners who need stability. After testing it, we found that its compact build sacrifices support, making it better suited for neutral runners with precise form. In our view, those looking for a bit of stability in a supershoe should consider the Nike Alphafly 3 , which offers a broader and more supportive base.|Additionally, while the v5 is lighter than its predecessor, it still feels on the heavier side compared to top-tier racing models. Based on our findings, if weight is your main concern, we believe the ASICS Metaspeed Ray and the Nike Vaporfly 4 are excellent picks.",323.16
asics-megablast,https://runrepeat.com/asics-megablast,ASICS Megablast,ASICS,,4609110.0,IDR,Road,Treadmill,,2025-10-19T10:01:28+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Tempo|Competition,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal|Wide,Mesh|Reflective,Breathable|For heavy runners|Maximalist|Lightweight,,45.1 mm,35.2 mm,9.9 mm,15.5 HA,17.4 HA,12%,160 SA,,73.0%,,218.0,93.7 mm,,74.3 mm,,24.2 mm,117.9 mm,95.4 mm,4,0.80,18.8N,,,,1,4,0.9 mm,3.0 mm,,4.4 mm,0.9 mm,Both sides (full),Finger loop,Yes,True,4.0,5.0,3.0,Yes,Audience verdict 82 Good! Top 13% most popular running shoes,82,The ASICS Megablast is the new king of supertrainers.,"Outstanding energy return|Exceptional impact protection|Durable, grippy outsole rubber|Astonishingly low weight|Performs at any pace and distance|Breathable, lightweight upper|High-quality materials from heel to toe|Suitable for all footstrikes|Top performance without a carbon plate",Extremely expensive for a training shoe|Limited outsole coverage|Poor toebox durability,Runners seeking one shoe that can handle everything from daily training to interval sessions and races.|Those who love the unique feel of supershoe foams but prefer a plate-free ride.|Fans of the Superblast series who wanted something even lighter and more responsive. The Megablast delivers exactly that.|Marathoners seeking a supertrainer built for long runs and tempo workouts that offers outstanding energy return and shock absorption.,"We think the ASICS Megablast carries a sky-high price that’s hard to justify for many runners. You can get comparable performance for much less with the Adidas Adizero EVO SL , though with lower-quality materials. Or you can go for the ASICS Novablast 5 if energy return isn’t your main concern.|We also found that the Megablast’s stiffness might be a drawback for those who enjoy a more flexible, forgiving ride. In our view, the Saucony Endorphin Speed 5 is a fantastic alternative, offering excellent energy return, better flexibility, and a cheaper price.",276.99
asics-trabuco-max-4,https://runrepeat.com/asics-trabuco-max-4,ASICS Trabuco Max 4,ASICS,,3456830.0,IDR,Trail,,,2025-09-26T15:17:37+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal,Mesh|Reflective,Maximalist,,39.3 mm,33.2 mm,6.1 mm,20.1 HA,24.8 HA,23%,125 SA,,57.1%,,312.0,97.0 mm,,71.3 mm,,25.5 mm,122.7 mm,88.8 mm,3,,26.4N,,,,3,5,1.7 mm,1.6 mm,,5.0 mm,6.6 mm,Both sides (full),Finger loop,Yes,True,3.0,5.0,4.0,Yes,Audience verdict 86 Good!,86,"The ASICS Trabuco Max 4 feels more like a minor refresh than a full redesign, holding onto the same DNA as the last version with its towering stack, super-stiff build, and hefty weight.","Huge forefoot cushioning|Full-length ASICSGRIP rubber|Extremely stable despite its height|Can handle any distance|Handy tongue loop keeps laces quiet|Well-padded, comfortable tongue|Rockered shape for easy transitions﻿|Ideal for flat, easy trails",Not ideal for heel strikers|Questionable outsole durability|Heavy build|Tapered toebox,"Forefoot and midfoot strikers who want a trail shoe with massive cushioning.|Runners seeking maximum protection and ground filtering on easy, non-technical terrain.|Those who enjoy rockered, stiff-built shoes that stand apart from the average trail runner.","We think the Trabuco Max 4 is not the right pick if you dislike heavy shoes, it feels quite bulky on foot. For a similar experience with less heft, we suggest the ASICS Gel Trabuco 13 or even the Nike Wildhorse 10 , both of which feel more agile and versatile.|Additionally, we found that the tapered toebox could be a deal-breaker for runners needing more room for toe splay. In our view, alternatives like the Altra Experience Wild or the Topo Ultraventure 4 provide a more foot-friendly design with space where it matters.",207.74
skechers-aero-burst,https://runrepeat.com/skechers-aero-burst,Skechers Aero Burst,Skechers,,3840930.0,IDR,Road,Jogging|Walking|All-day wear,,2025-09-25T15:00:00+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide,Mesh|Reflective,Maximalist,,41.7 mm,32.9 mm,8.8 mm,14.4 HA,18.5 HA,29%,145 SA,,60.3%,,322.0,94.4 mm,,70.7 mm,,23.0 mm,117.0 mm,85.6 mm,3,0.48,15.3N,,,,3,4,0.8 mm,3.9 mm,,6.2 mm,8.0 mm,,Extended heel collar,Yes,True,3.0,5.0,4.0,Yes,Audience verdict 92 Superb! Top 5% in road running shoes Top 4% in neutral running shoes Top 17% most popular running shoes,92,"The Aero Burst marks a huge step forward for Skechers, leaving behind the dull and plain designs of its past.","Outstanding cushioning|Unique, bold design|Good energy return for EVA foam|Soft and plush underfoot feel|Smooth, rolling rockered ride|Stable for its tall stack|GoodYear rubber delivers solid grip|Durability holds up well|Fair price",Heavier than most competitors|Narrow fit with a low toebox|Exaggerated rocker could be unnatural for some,"Runners who want a super-comfortable shoe with plenty of foam underfoot.|Fans of modern running shoes with rockered designs, especially heel strikers.|Anyone looking for a long-run specific option at a reasonable price given today’s market and its features.","We think the Aero Burst is not the best option for runners with wide or high-volume feet. In our lab we found its toebox low and narrow, and from our perspective, those who usually need extra toe splay may struggle with rubbing or discomfort. For a more accommodating fit, we believe the Adidas Ultraboost 5 is a better alternative.|Additionally, we are convinced that weight is the biggest drawback of the Aero Burst. If you want something lighter, we recommend the ASICS Novablast 5 , which delivers the same maximalist midsole in a far less bulky package, or the Nike Vomero Plus , which balances plush cushioning with a lighter build.",230.83
puma-velocity-nitro-4,https://runrepeat.com/puma-velocity-nitro-4,PUMA Velocity Nitro 4,PUMA,,2496600.0,IDR,Road,Hyrox|Gym|Jogging|Walking|All-day wear|For beginners,,2025-09-23T17:27:24+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running|Tempo,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide,Mesh|Reflective,Lightweight,,33.7 mm,24.0 mm,9.7 mm,20.0 HA,28.1 HA,41%,136 SA,,67.5%,,224.0,93.0 mm,,71.6 mm,,25.9 mm,109.1 mm,89.5 mm,3,0.65,8.9N,,,,3,3,1.1 mm,3.9 mm,,5.2 mm,4.1 mm,Both sides (semi),Extended heel collar,Yes,True,3.0,2.0,3.0,Yes,Audience verdict 89 Great! Top 28% in running shoes Top 30% in neutral running shoes Top 21% most popular running shoes,89,We were amazed by the PUMA Velocity Nitro 4 and its explosive energy return at such a fair price.,"Impressive energy return|Lightweight and agile underfoot|Superior traction from PumaGrip outsole|Handles tempo efforts with ease|Flexible and comfortable for everyday use|Accurate real drop|Natural-feeling, non-rockered design|Balanced cushioning with some ground feel﻿|Looks really cool",Not ideal for long runs|Fit leans toward the narrow side|Midsole becomes firmer in cold conditions|Slight price increase,"Ideal for runners who want a classic daily trainer with strong energy return without paying premium prices.|A sure bet for runners who need solid grip when running in wet conditions or on dirt roads.|Perfect for short and medium-distance runs if you want one shoe for everything.|A solid choice for those who dislike maximalist shoes and prefer a grounded, versatile stack height.","In our view, the Velocity Nitro 4 is not the best option for runners who crave tons of foam underfoot or forefoot strikers needing strong shock absorption up front. After testing, we found the cushioning limited in these areas, so we suggest the PUMA MagMax Nitro or even the Nike Vomero 18 for a more cushion-focused alternative.|We also believe this shoe isn’t well-suited for those with stability concerns. Our assessment is that the neutral and compact platform provides little support, making the PUMA ForeverRun Nitro 2 or the Nike Structure 26 much better choices for daily runs.",150.04
hoka-rocket-x-3,https://runrepeat.com/hoka-rocket-x-3,HOKA Rocket X 3,HOKA,Hoka Rocket X,4801160.0,IDR,Road,Treadmill,,2025-09-22T16:30:16+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Competition,Orthotic friendly|Cushioned|Carbon plate|Removable insole|Rocker,Summer|All seasons,Normal,Mesh,Breathable|Maximalist|Lightweight,,39.6 mm,29.6 mm,10.0 mm,15.9 HA,16.4 HA,3%,155 SA,,73.9%,,220.0,92.0 mm,,70.0 mm,,26.9 mm,108.0 mm,76.5 mm,5,0.57,21.3N,,,,3,4,0.9 mm,2.4 mm,,3.4 mm,3.1 mm,None,Extended heel collar,Yes,True,5.0,4.0,2.0,No,Audience verdict 89 Great! Top 29% in road running shoes Top 14% in Hoka running shoes Top 15% most popular running shoes,89,"After a two-year gap filled with speculation that no update would appear, the HOKA Rocket X 3 finally launched.","Fantastic durability for being a supershoe|Responsive PEBA foam|Built to handle marathon distances|Rocker design promotes forward roll|Heel stack flirts with the 40-mm limit|Full-length, stiff carbon plate|Higher drop benefits heel strikers|Stable despite compact dimensions|Comfortable heel and tongue","Heavier than most competitors|Tight, tapered toebox|Aggressive rocker may not suit all runners|Doesn't feel as fast as we hoped",You’re a neutral runner seeking a dependable supershoe with standout durability.|Most supershoes feel too stripped down and you prefer added padding in the tongue and heel paired with a lively midsole.|You want a high-performing shoe for long runs and tempo workouts and don’t mind paying a bit extra compared to training-focused options.,"From our perspective, the main drawback of the Rocket X 3 is its weight. We believe lighter options such as the ASICS Metaspeed Sky Tokyo offer a faster racing experience. And for those who want the absolute lightest feel, the ASICS Metaspeed Ray is the perfect shoe.|We also think that the rocker geometry of the Rocket X 3 won’t suit everyone. After testing the shoe, we discovered that runners preferring a flatter midsole may struggle with its aggressive forward roll. For a more grounded and classic ride, the Nike Vaporfly 4 is much a safer bet. And it's way lighter too!",288.53
